Date,Open,High,Low,Close,Volume
13-06-2018,309.2,311.25,307,308.4,7280886
14-06-2018,308.5,309.6,303.8,305.9,6532693
15-06-2018,305.75,307.65,300.55,302.95,8224497
18-06-2018,302.9,311,302.1,308.8,8787098
19-06-2018,309.6,312.8,303.3,305.05,10498362
20-06-2018,304.9,308.25,304.05,305.6,6607472
21-06-2018,307.9,308.5,305.5,307,5085379
22-06-2018,306.85,308.9,303.2,308,6033095
25-06-2018,306.3,306.3,287.6,289.4,16392183
26-06-2018,288.4,288.4,275.1,276.85,30728620
27-06-2018,278.5,279.5,270,271.05,19077416
28-06-2018,272,272.65,261.85,263.35,19507165
29-06-2018,265.45,270.5,262.65,269.3,14765516
02-07-2018,276,276.05,265.6,266.7,16495647
03-07-2018,269.5,271.5,267.2,269.45,11484332
04-07-2018,270,271.5,265.65,267.05,7394858
05-07-2018,263.5,263.75,252.55,261.55,20820454
06-07-2018,262,272.5,261.85,270.85,19215897
09-07-2018,274.6,277,272.05,273.5,9387556
10-07-2018,274.9,276.9,272.9,275.45,6351033
11-07-2018,276.4,276.4,267.1,267.8,7356582
12-07-2018,269.6,272,265.5,266.1,8573517
13-07-2018,267.3,269.4,262.7,263.6,8352827
16-07-2018,260.5,260.8,250.5,252.1,11067012
17-07-2018,253,259,252.3,257.95,6350966
18-07-2018,259.45,259.45,247.3,251.85,9348644
19-07-2018,254,257.85,251.2,252.5,9556686
20-07-2018,252.7,254,251,253.4,6422014
23-07-2018,254.95,259.5,251.1,258.75,8891743
24-07-2018,258.75,263.75,257.1,258.8,9906160
25-07-2018,260,261.7,256.1,257.85,6721386
26-07-2018,260.1,263,257.5,258.25,8817721
27-07-2018,259.1,269.7,258.55,268.15,15275469
30-07-2018,267.75,271.65,266.2,267.5,7801098
31-07-2018,268.95,270.45,262.2,264.1,10026055
01-08-2018,250,268,250,265.05,53282545
02-08-2018,263.45,266.45,258.7,260.85,17421472
03-08-2018,262.15,263.85,257.6,258.45,9044248
06-08-2018,259.95,261.8,252.5,254.05,11371744
07-08-2018,255.2,256,250.55,251.6,14490829
08-08-2018,253.5,258.25,251.85,255.15,16125867
09-08-2018,256.65,260.4,255.5,257.85,7777719
10-08-2018,257.25,258.65,249.55,250.1,14606037
13-08-2018,249.25,249.7,243.1,248.7,13877900
14-08-2018,248.6,249.85,247.2,248.8,9171033
16-08-2018,245.8,252.8,245.25,251.3,14148347
17-08-2018,253.7,260.1,253,258.25,16117660
20-08-2018,261.85,271.85,259.2,270.1,25576718
21-08-2018,271.85,274.7,266.7,268.8,19505584
23-08-2018,269.2,269.2,256,256.9,18667622
24-08-2018,257,258.65,255,255.5,8703468
27-08-2018,257,259.5,256.5,258.8,6127707
28-08-2018,261.7,263.25,259.05,260,8506857
29-08-2018,261.05,263.5,261,261.7,5117552
30-08-2018,262.3,263,259,259.35,6333570
31-08-2018,259.1,268.25,258.1,267.5,12360078
03-09-2018,271.4,273,265.25,266.6,14597832
04-09-2018,270.5,270.8,260.35,261.95,14775900
05-09-2018,261,271,255.4,266.5,10084307
06-09-2018,269.7,272,263.85,269.95,14736214
07-09-2018,269.55,279.9,269.25,277.4,26189156
10-09-2018,276,282,271.75,275.7,21322969
11-09-2018,277.25,278.85,265.7,267.3,13444031
12-09-2018,268.2,268.2,258.85,262.4,14456273
14-09-2018,265,269.6,263.4,266.6,10710620
17-09-2018,263.35,264.1,259.65,260.25,9461420
18-09-2018,257.75,259.8,250.6,251.5,11554420
19-09-2018,253.55,255,251,252.6,7845650
21-09-2018,255.05,257.7,228.85,250.35,18547453
24-09-2018,250.2,251,239.35,240.2,8889259
25-09-2018,241,243.5,235.45,240.8,9030367
26-09-2018,242.3,243.2,229.55,233.35,17810869
27-09-2018,234.8,236.55,223.1,225.25,17430781
28-09-2018,227.9,230.7,219.5,223.7,14196824
01-10-2018,225,230.45,220,229.35,9743094
03-10-2018,230,232.8,225.8,227.6,9094685
04-10-2018,224,230.8,221.75,223.25,13898979
05-10-2018,222.75,226.45,214.75,216.25,10471026
08-10-2018,217.8,218.5,208.1,212.35,11854170
09-10-2018,205.7,206,170.3,184.35,142760251
10-10-2018,186,190.95,185.05,188.75,35670907
11-10-2018,180.65,187.75,178,182.95,19323517
12-10-2018,185.95,188.4,182.6,183.75,18014894
15-10-2018,186.5,186.5,182.7,184.35,11658409
16-10-2018,185.2,187.25,184.55,185.85,9695745
17-10-2018,187.6,187.8,179.1,179.95,12004524
19-10-2018,178.95,179.75,174,174.7,10469358
22-10-2018,176.4,176.85,170.05,170.75,11721075
23-10-2018,170,175.7,169.55,170.65,15588511
24-10-2018,173.9,175,169,170.65,15421903
25-10-2018,168.95,169.75,164.6,165.35,14877057
26-10-2018,166,172.8,165.9,168.5,19584723
29-10-2018,169.95,176.5,167.7,175.35,14171750
30-10-2018,177,181.5,176.05,177.25,15602414
31-10-2018,178.3,180,173.45,179.1,12579712
01-11-2018,182,186.05,178.2,179.45,28947802
02-11-2018,180.95,191.85,180.9,190.3,29425248
05-11-2018,191.3,191.3,186.65,189.8,14818506
06-11-2018,192.45,199.95,191.75,193.25,35339222
07-11-2018,194.95,195.75,193.35,194.85,3932893
09-11-2018,192.9,200.75,192,195.25,22341961
12-11-2018,194.45,194.45,185.2,186.05,20789180
13-11-2018,180.75,183,178.35,179.5,22189598
14-11-2018,180.5,183,176.25,176.8,15795883
15-11-2018,178,182.7,177.5,180.2,18740276
16-11-2018,180.9,181.85,177.85,179.9,10022823
19-11-2018,180.6,185.5,179.1,184.6,14522581
20-11-2018,184.05,188.3,183.2,183.75,13114982
21-11-2018,184.4,186.75,183.75,184.15,8097107
22-11-2018,185.5,186.15,181.75,182.55,9135857
26-11-2018,183.9,184.45,177,181.75,9865426
27-11-2018,181.7,184.55,178.55,180.05,11639680
28-11-2018,181,181.35,174,174.45,12504717
29-11-2018,175.95,179.35,173.45,177.25,20892744
30-11-2018,172,174.9,170.35,171.95,18393012
03-12-2018,173.25,176.45,170,175.45,14068885
04-12-2018,177.95,178.75,175.3,175.75,11481923
05-12-2018,173,173,168.6,169.2,14960527
06-12-2018,168.5,168.7,161.6,162.65,15428019
07-12-2018,162.25,164.2,160.8,162.4,13545006
10-12-2018,159.9,160.5,156.5,157.1,13520495
11-12-2018,155,159.5,154.65,158.1,12094881
12-12-2018,159.5,167.1,158,164.1,22461175
13-12-2018,166,168,165.55,166.85,12235499
14-12-2018,166,168.4,164.85,166.95,10091732
17-12-2018,167.25,175.95,167.25,173.95,28526103
18-12-2018,174,177.6,173.1,174.75,18015933
19-12-2018,176.5,176.5,172.5,173.9,11540042
20-12-2018,173,177.3,171.75,176.4,15819006
21-12-2018,177,180.5,175.15,176.25,23742481
24-12-2018,176.25,177.85,171.5,172.5,11374468
26-12-2018,171.45,172.2,167.6,170.9,12044191
27-12-2018,172.75,173.4,167.7,168.25,15231581
28-12-2018,169.4,172.2,169.15,170.85,8669584
31-12-2018,172.45,173.9,171.75,172.7,8511388
01-01-2019,173.5,174.2,171.3,173.45,6715543
02-01-2019,170.6,171.75,168,168.55,13410104
03-01-2019,169,170.15,165.1,166.05,9321842
04-01-2019,169,171.95,168.5,170.95,17650435
07-01-2019,173.2,178.2,173.2,175.35,21438351
08-01-2019,176.1,180.5,176.1,179.95,20128985
09-01-2019,181.5,183.6,180.2,183.05,17468948
10-01-2019,183.65,186.85,183.55,185.75,16961888
11-01-2019,186.55,187.75,179.4,180.3,25902974
14-01-2019,180.3,198.3,177.45,182.4,18935120
15-01-2019,183.3,185.8,181.25,185.35,13536578
16-01-2019,186,187.35,184.05,185.45,11874245
17-01-2019,186,187.3,183.4,184.9,9365756
18-01-2019,185.65,185.65,181.3,183.3,6797621
21-01-2019,184.3,184.95,180.65,181.5,6918258
22-01-2019,181.5,181.5,175.95,180.85,9775717
23-01-2019,181.7,182.7,178.55,180.25,9778926
24-01-2019,180,180.3,173.7,175.4,13461254
25-01-2019,175.95,178.9,171.95,173.25,12136892
28-01-2019,173.3,175.35,169.4,172.3,8167430
29-01-2019,172.35,174.9,170.9,173.6,6141180
30-01-2019,174.3,176.75,173.3,174.6,7757847
31-01-2019,175.8,183.9,175.8,181.2,22277646
01-02-2019,182,185.9,179.55,181.65,14931422
04-02-2019,181,183.7,178.2,180.25,11854351
05-02-2019,180.7,181.15,174.7,175.8,12064426
06-02-2019,176,179.45,171.9,178.5,10334594
07-02-2019,179,185,178.9,182.85,16152722
08-02-2019,164.6,164.6,129,150.7,102256857
11-02-2019,150.15,153.25,145.85,152.65,26161867
12-02-2019,152.95,154.4,150.6,151.8,14174912
13-02-2019,152.95,156.65,151.5,155,15340343
14-02-2019,155.95,161,153.8,159.85,16348306
15-02-2019,159.8,162.3,153.15,161.65,20705576
18-02-2019,162.8,163.45,159.2,162.9,13503666
19-02-2019,164,165.95,161.55,163.75,14533142
20-02-2019,164.45,166.7,163.75,164.8,11610728
21-02-2019,165.6,170.6,165.1,169.7,14811723
22-02-2019,170,175.3,167.85,174.3,13011477
25-02-2019,175.15,177.5,173.5,175.75,15554532
26-02-2019,173,183.45,172.5,182.65,31859427
27-02-2019,183.55,186.1,176.1,177.35,19723906
